scountry,scoursestart,sdeadline,sdegree,stitle,suni,surl
Study in: Netherlands,Course starts September 2024,31 January 2024 (annual),Masters Degree,Radboud Scholarship Programme for International Students,Radboud University,https://www.scholars4dev.com/6127/radboud-university-scholarships-for-international-students/
Study in:  Netherlands,Course starts September 2024,1 Feb 2024 (annual),Masters Degree,Maastricht University NL-High Potential Scholarships for International Students,Maastricht University,https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/
Study in:  Canada,Course starts 2024,15 Nov/1 Dec (annual),Bachelor’s Degree,International Scholars Program at University of British Columbia,University of British Columbia,https://www.scholars4dev.com/2333/ilot-scholarships-at-university-of-british-columbia/
Study in:  Netherlands,Course starts September 2024,1 December (annual),Masters Degree,Eric Bleumink Scholarships at University of Groningen,University of Groningen,https://www.scholars4dev.com/2457/eric-bleumink-scholarships-for-developing-countries-at-university-of-groningen/
Study in: Netherlands,Course starts September 2024,1 Dec 2023/1 Feb 2024 (annual),Masters Degree,VU Amsterdam Fellowship Programme for International Students,VU University Amsterdam,https://www.scholars4dev.com/9784/vu-university-amsterdam-fellowship-programme-for-international-students/
Study in: UK,Course starts October 2024,5 Dec 2023/4 Jan 2024 (annual),PhD Degree,Cambridge International Scholarships,University of Cambridge,https://www.scholars4dev.com/9330/cambridge-international-scholarship-scheme-ciss/
Study in: USA,Course starts August 2024,15 Dec 2023/15 Jan 2024 (annual),Bachelors Degree,American University Emerging Global Leader Scholarship,American University,https://www.scholars4dev.com/7085/american-university-scholarships-for-international-students/
"Study in: London, UK",Course starts October 2024,12/14 Dec 2023 (annual),PhD Degree,Warwick Chancellor’s International Scholarships,University of Warwick,https://www.scholars4dev.com/9316/warwick-chancellors-international-scholarships/
Study in:  UK,Course starts October 2024,5 Jan/19 Jan 2024 (annual),Masters/PhD Degrees,Clarendon Fund Scholarships at University of Oxford,Oxford University Press,https://www.scholars4dev.com/2269/clarendon-scholarships-at-university-of-oxford/
Study in: UK,Course starts Sept/Oct 2024,17 Oct 2023 (annual),Masters Degree,Commonwealth Master’s Scholarships for Developing Commonwealth Countries,DFID,https://www.scholars4dev.com/4900/commonwealth-scholarships-for-developing-commonwealth-countries/
Study in:  UK,Course starts 2024,5/19 Jan 2024 (annual),Masters Degree,Oxford-Weidenfeld and Hoffmann Scholarship and Leadership Programme,University of Oxford,https://www.scholars4dev.com/2191/weidenfeld-scholarships-at-university-of-oxford/
Study in: Netherlands,Course starts September 2024,1 Dec 2023 (annual),Masters Degree,Justus & Louise van Effen Excellence Scholarships for International Students at TU Delft,Delft University of Technology,https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/
Study in:  Netherlands,Next course starts Feb/Sept 2024,1 Oct/1 Feb (annual),Masters Degree,Leiden University Excellence Scholarships (LexS),Leiden University,https://www.scholars4dev.com/1429/leiden-university-excellence-scholarship-for-non-eu-students/
Study in: Canada,Course starts May/Sept 2024,before 1 Nov 2023 (annual),PhD Degree,Vanier Canada Graduate Scholarships (Vanier CGS),Canadian Government,https://www.scholars4dev.com/6767/vanier-canada-scholarships-for-international-students/
Study in:  UK,Course starts October 2024,11 Oct/5 Dec 2023/4 Jan 2024 (annual),Masters/PhD Degree,Gates Cambridge Scholarships for International Students,Gates Cambridge Trust,https://www.scholars4dev.com/2043/gates-scholarships-for-international-students-at-university-of-cambridge/
Study in: USA,Next course starts 1 July 2024,15 Nov 2023 (annual),Masters/PhD/Postdoctoral,AAUW International Fellowships in USA for Women,AAUW,https://www.scholars4dev.com/1877/aauw-international-fellowships-in-usa-for-women/
Study in: UK,Course starts October 2024,16 Oct 2023/ Feb 2024 (annual),Undergraduate Degree,Reach Oxford Scholarships for Developing Country Students,University of Oxford,https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/
Study in: Switzerland,Course starts September 2024,1 Nov 2023 (annual),Masters Degree,UNIL Master’s Grants in Switzerland for Foreign Students,University of Lausanne,https://www.scholars4dev.com/6578/switzerland-univeristy-lausanne-scholarships-for-international-students/
Study in: Switzerland,Next course starts 2024,"varies, Sept-Dec 2023",PhD/Postdoctoral Degree,Swiss Government Excellence Scholarships for Foreign Students,Swiss Government,https://www.scholars4dev.com/3543/swiss-government-scholarships-for-foreign-students/
Study in:  Australia,Course starts 2024,15 Sept 2023,Masters/PhD Degree,University of Sydney International Scholarship,University of Sydney,https://www.scholars4dev.com/2053/international-scholarships-at-university-of-sydney/
Study in:  USA,Course starts AY 2024-2025,"varies, Feb-Oct 2023",Masters/PhD Degrees,Fulbright Foreign Student Program in USA,USA Government,https://www.scholars4dev.com/2876/usa-fulbright-scholarships-for-international-students/
Study in:  UK,Course starts Sept 2023,21 July 2023 (annual),Bachelors Degree,The Denys Holland Scholarship at University College London,University College London,https://www.scholars4dev.com/15836/the-denys-holland-scholarship-at-university-college-london/
Study in: New Zealand,Course starts 2024,21 July 2023 (annual),Masters Degree,ADB Scholarships at University of Auckland,ADB/University of Auckland,https://www.scholars4dev.com/12017/adb-scholarships-at-univeristy-of-auckland/
Study in: UK,Course starts October 2023,"varies, July-Oct 2023 (annual)",Masters/PhD Degree,Rhodes Scholarships at Oxford University for International Students,Rhodes Scholarship Fund,https://www.scholars4dev.com/3667/rhodes-international-scholarships-at-oxford-university/
Study in:  Netherlands,Course starts Sept 2024,1 Feb/1 May 2024 (annual),Masters Degree,University of Twente Scholarships (UTS),University of Twente,https://www.scholars4dev.com/1494/masters-scholarships-for-non-eu-students-at-university-of-twente/
Study in: Italy,Course starts AY 2023/2024,9 June 2023 (annual),Masters/PhD Degrees,Italian Government Scholarships for Foreign Students,Italian Government,https://www.scholars4dev.com/3282/italian-government-scholarships-for-international-students/
Study in:  Germany,Next course starts Sept/Oct 2024,31 July 2023 (annual),Masters Degree,DAAD Helmut-Schmidt Masters Scholarships for Public Policy and Good Governance,DAAD,https://www.scholars4dev.com/1010/daad-ms-scholarships-for-public-policy-and-good-governance-ppgg/
Study in:  USA,Program starts Apr-Sept 2024,before 1 Oct (annual),Non-degree,Hubert Humphrey Fellowships in USA for International Students,USA Government,https://www.scholars4dev.com/2887/hubert-humphrey-fellowships-for-international-students/
Aug-Oct 2023 (annual),Study in:  Germany,,,DAAD Scholarships in Germany for Development-Related Postgraduate Courses,DAAD,https://www.scholars4dev.com/1002/daad-scholarships-for-postgraduate-courses-with-special-relevance-to-developing-countries/
"Study in: London, UK",Course starts Sept/Oct 2023,2 May 2023 (annual),Masters Degree,IOE Centenary Masters Scholarships,IOE/ISH,https://www.scholars4dev.com/10515/ioe-ish-centenary-masters-scholarships-for-international-students/
"Study in: London, UK",Course starts Sept 2023,31 May 2023 (annual),Masters Degree,UWE Millennium Scholarship for International Students,University of the West of England,https://www.scholars4dev.com/8355/millenium-development-scholarships-for-international-students-at-university-of-west-england/
Study in:  France,Course starts Sept 2023,10 May 2023 (annual),Masters Degree,Université Paris-Saclay International Master’s Scholarships,Université Paris-Saclay,https://www.scholars4dev.com/15259/universite-paris-saclay-international-masters-scholarships-2/
Study in:  any Country (online),Course starts Sept 2023,5 June 2023 (Annual),Online Masters Degree,Edinburgh Global Online Distance Learning Scholarships,University of Edinburgh,https://www.scholars4dev.com/2719/distance-learning-scholarships-at-university-of-edinburgh/
Study in:  UK,Course starts Sept/Oct 2024,31 Aug 2023 (annual),Masters (MS) Degree,University of Birmingham Global Masters Scholarships,University of Birmingham,https://www.scholars4dev.com/3394/international-postgraduate-scholarships-at-university-of-birmingham/
28 March 2023 (annual),Study in: any Country,,DFID/UK Universities,Commonwealth Distance Learning Scholarships for Developing Commonwealth Countries,not-found,https://www.scholars4dev.com/3838/distance-learning-scholarships-for-developing-commonwealth-countries/
Study in: UK,Course starts September 2023,30 April 2023 (annual),Masters Degree,UEA International Development Full Fees Scholarships,University of East Anglia,https://www.scholars4dev.com/4772/international-development-scholarships-for-international-students/
Study in:  USA,Research starts Sept 2023-May 2024,3 April 2023 (annual),PhD Fellowships,Robert S. McNamara Phd Research Fellowships,World Bank,https://www.scholars4dev.com/2750/robert-s-mcnamara-phd-research-fellowships/
Study in:  Australia,Course starts 2024,1 May 2023 (annual),Bachelors/Masters/PhD Degrees,Australia Awards Scholarships,Australian Government,https://www.scholars4dev.com/3253/australia-awards-scholarships/
